"land_code","n","percentage"
"Agricultural (A)",3747,10.1273007378578
"Apartments (M)",2931,7.92183572528987
"Commercial (C)",8008,21.6438282115733
"Commercial Condominium (CC)",581,1.57031271115436
"Commercial Residential (CR)",604,1.63247655342036
"Country Club (CA)",42,0.113516581529231
"Exempt (E)",15669,42.3497932376551
"Exempt Commercial (EC)",2232,6.03259547555339
"Industrial (I)",3182,8.60023243871456
"Residential Commercial (RC)",2,0.00540555150139193
"Town House (TH)",1,0.00270277575069596
