"city","land_code","count","total_count","percentage"
"WHITE MARSH","Agricultural (A)",2,154,1.2987012987013
"WHITE MARSH","Commercial (C)",2,154,1.2987012987013
"WHITE MARSH","Exempt (E)",1,154,0.649350649350649
"WHITE MARSH","Residential (R)",149,154,96.7532467532468
"SPARROWS POINT","Commercial (C)",32,812,3.94088669950739
"SPARROWS POINT","Commercial Residential (CR)",3,812,0.369458128078818
"SPARROWS POINT","Exempt (E)",6,812,0.738916256157635
"SPARROWS POINT","Residential (R)",771,812,94.9507389162562
"MIDDLE RIVER","Agricultural (A)",5,1791,0.279173646007817
"MIDDLE RIVER","Commercial (C)",47,1791,2.62423227247348
"MIDDLE RIVER","Commercial Residential (CR)",1,1791,0.0558347292015634
"MIDDLE RIVER","Exempt (E)",22,1791,1.22836404243439
"MIDDLE RIVER","Industrial (I)",1,1791,0.0558347292015634
"MIDDLE RIVER","Residential (R)",1711,1791,95.5332216638749
"MIDDLE RIVER","Residential Condominium (U)",4,1791,0.223338916806254
"ESSEX","Agricultural (A)",1,1407,0.0710732054015636
"ESSEX","Apartments (M)",1,1407,0.0710732054015636
"ESSEX","Commercial (C)",50,1407,3.55366027007818
"ESSEX","Commercial Residential (CR)",3,1407,0.213219616204691
"ESSEX","Exempt (E)",11,1407,0.7818052594172
"ESSEX","Exempt Commercial (EC)",1,1407,0.0710732054015636
"ESSEX","Residential (R)",1340,1407,95.2380952380952
"DUNDALK","Commercial (C)",19,795,2.38993710691824
"DUNDALK","Exempt (E)",9,795,1.13207547169811
"DUNDALK","Industrial (I)",8,795,1.0062893081761
"DUNDALK","Residential (R)",759,795,95.4716981132076
"BALTIMORE","Commercial (C)",3,7,42.8571428571429
"BALTIMORE","Exempt Commercial (EC)",1,7,14.2857142857143
"BALTIMORE","Industrial (I)",1,7,14.2857142857143
"BALTIMORE","Residential (R)",2,7,28.5714285714286
NA,"Commercial (C)",3,9,33.3333333333333
NA,"Residential (R)",6,9,66.6666666666667
